Issue Type (FM Selection),Correct System Outcome,Primary Object,Primary Object Status,Secondary Objects Created,Owner / Queue,Required Fields from FM,Required Photos,Notification Triggered,Blocks Closeout?,Notes
Original scope incomplete,Create child Work Order as Finished Job,WorkOrder (Is_Finished_Job__c=true),New — added to scheduling queue,Schedule_Issue__c (optional),Scheduling Manager,Reason + Scope to complete + Parent WO + Lot,Yes — at least 1 proof photo of incomplete area,Task to Scheduling Manager,YES — until FJ resolved,"Use WO parent-child. Fields: Is_Finish_Job__c, Finish_Job_Reason__c, Finish_Job_Notes__c"
Warranty concern,Create Warranty_Record__c and route to Customer Success,Warranty_Record__c,Submitted,Case (type: Warranty) if CS-facing communication needed,Customer Success,Category + Original WO + Date original work completed + Issue description + Severity,Yes — required for all warranty types,Task + Chatter to Customer Success,MAYBE — if severity is High,Use Warranty_Record__c.WorkOrder__c + Case__c. Category options: Plant warranty / Sod / Irrigation / Drainage / Hardscape / Settlement / Washout / Cleanup / Damage / Builder punch / Homeowner complaint
Customer complaint,Create Case (type: Customer Complaint),Case,New,Task (notify Customer Success),Customer Success,Account + Contact + Description + Lot,Recommended — not required,Task to Customer Success,NO — unless complaint relates to scope,Route to Customer Care queue. May also trigger Warranty_Record__c if physical issue.
Builder punch item,Create Change_Order__c — builder-owned scope change,Change_Order__c,Submitted,Case if customer communication needed,Customer Success,Builder Account + Community + Lot + WO + Scope + Billable recommendation,Recommended,Task to Customer Success,MAYBE — depends on whether LOVING owes the item,Use Change_Order__c.WorkOrder__c + Lot__c + Division_Account__c
New requested scope,Create UMB_Quote_Request__c (Status: Field Request),UMB_Quote_Request__c,Field Request,Change_Order__c if associated with active WO,Customer Success,Account + Lot + WO + Scope description + Quantities + FM notes,Recommended — required if drainage or structural,Task + Chatter to Customer Success,NO — scope request is additive; does not block current job,FM cannot set price. CS owns pricing and routing to Estimating.
Quantity variance,Create Change_Order__c with variance documentation,Change_Order__c,Pending Review,Schedule_Issue__c if variance affects scheduling,Customer Success,WO + Lot + PO Qty vs. Measured Qty + Reason for variance,Recommended — photo of actual vs. expected,Task to Customer Success,MAYBE — if variance blocks scope completion,FM-measured quantities must be entered before submitting. Cross-reference Takeoff_*__c fields on WO.
Drainage issue,Create Schedule_Issue__c; create UMB_Quote_Request__c if billable scope change needed,Schedule_Issue__c,Open,UMB_Quote_Request__c (if billable),Scheduling Manager + Customer Success if billable,Summary + Severity + Billable flag + Location description,YES — required,Task to Scheduling Manager; Task to CS if billable,MAYBE — if drainage blocks installation,Severity: High if standing water on install date. Trigger quote request only if fix is out of original scope.
Waterline or utility conflict,Create Schedule_Issue__c (type: Utility Conflict) + update 811 status,Schedule_Issue__c,Open,UMB_Quote_Request__c if scope change; Task to Safety if active hazard,Scheduling Manager + Safety if active,Location + 811 status + utility type + access constraint,YES — required,Task to Scheduling Manager; escalate to Safety Officer if active hazard,YES — blocks installation until resolved,"Use Schedule_Issue__c.Standard_Work_Order__c + Service_Appointment__c. Set Severity=High. Update WO.Site_Ready__c=false."
Site not ready,Update WorkOrder Site_Ready__c=false + create Schedule_Issue__c,WorkOrder + Schedule_Issue__c,WO: Blocked; SI: Open,Task (notify Scheduling Manager),Scheduling Manager,Reason + Blocker type + Requested reschedule date,YES — required to document condition,Task to Scheduling Manager,YES — blocks dispatch,"Use WO fields: Site_Not_Ready_Reason__c, Site_Readiness_Notes__c, Site_Ready__c=false, Site_Readiness_Status__c"
Crew damage,Create Schedule_Issue__c (type: Crew Damage) + escalate to Regional Manager,Schedule_Issue__c,Open — Escalated,Task to Regional Manager,Field Manager + Regional Manager,Description + Location + Crew ID + Damage extent,YES — required immediately,Task to Regional Manager; alert FM,MAYBE — if damage is on install surface,Do not involve customer directly. Internal investigation first. If customer property damaged: add Case after manager review.
Missing material,Create Schedule_Issue__c (type: Material Issue) + notify Inventory,Schedule_Issue__c,Open,Task to Inventory/Scheduling,Inventory Manager + Scheduling Manager,Material name + Qty needed + WO + Lot,Recommended,Task to Inventory and Scheduling Manager,MAYBE — if material is required for scope completion,If material can be same-day sourced: Severity=Medium. If blocks install: update WO Site_Ready__c=false and set Severity=High.
Safety issue,Create Schedule_Issue__c (type: Safety) + mandatory escalation,Schedule_Issue__c,Open — Escalated,Task to Safety Officer + Regional Manager,Safety Officer + Regional Manager,Location + Description + Hazard type,YES — required immediately,Escalation: Safety Officer + Regional Manager mandatory,YES — halt all work until cleared,Severity=High always. Do not allow FM to continue without acknowledgment from manager. No customer communication until manager review.
Access issue,Update WorkOrder + create Schedule_Issue__c (type: Access) + notify Scheduling,WorkOrder + Schedule_Issue__c,WO: Blocked; SI: Open,Task to Scheduling Manager; contact builder/homeowner if needed,Scheduling Manager,Access type + Builder contact if applicable + Lot,YES — document blocked access,Task to Scheduling Manager,YES — blocks dispatch,"WO fields: Site_Not_Ready_Reason__c='Access', Site_Ready__c=false. Schedule_Issue__c for Scheduling Manager to reschedule."
Other,Create Schedule_Issue__c (type: Other) + require FM notes,Schedule_Issue__c,Open,Task to FM's manager for classification,Field Manager + Regional Manager,Summary + Description (required — cannot be blank),Recommended,Task to FM's manager,NO by default — manager classifies,FM notes are required. If Other is used too frequently: audit and add missing types to the router picklist.
