Issue Type,FM Trigger,Correct System Outcome,SF Object Created,Owner After Routing,Required Fields,Required Photos,Blocks Invoice?,Blocks Closeout?,Currently Built?
Site Not Ready — utilities not cleared,FM taps Flag Site Not Ready > Utilities,WorkOrder.Utilities_Cleared__c = false; Site_Readiness__c record created with status Not Ready; notification to Scheduling Manager,Site_Readiness__c,Scheduling Manager,Site_Not_Ready_Reason__c + Site_Readiness_Status__c on WorkOrder,Yes — site photo required,Yes — cannot schedule until cleared,Yes — no schedule = no closeout,GAP — app logs locally only; no SF record created
Site Not Ready — access blocked,FM taps Flag Site Not Ready > Access,WorkOrder.Access_OK__c = false; Site_Readiness__c record; notify Scheduling + Builder Regional,Site_Readiness__c,Scheduling Manager + Builder_Regional__c,Access_OK__c (false) + Site_Not_Ready_Reason__c,Yes — access photo,Yes,Yes,GAP — same as above
Site Not Ready — grading problem,FM taps Flag Site Not Ready > Grading,WorkOrder.Grading_OK__c = false; Site_Readiness__c record; notify Builder Regional,Site_Readiness__c,Builder Regional,Grading_OK__c (false) + Site_Not_Ready_Reason__c + Builder_Regional__c,Yes,Yes,Yes,GAP
Scope outside PO — extra work needed,FM taps Request Quote,Quote_Request__c child record created; status = New; routed to CSM / Inside Sales; FM cannot set price,Quote_Request__c,CSM / Inside Sales,Scope_Description__c + Work_Order__c lookup + Requested_By__c (FM),Yes — scope photos,No — invoice waits for quote approval,No — closeout can proceed after quote sent,OBJECT DOES NOT EXIST — P0 gap
Scope outside PO — builder change order,FM taps Request Quote > Change Order type,Same as above; marked as Builder-initiated; PO_Number__c tracked,Quote_Request__c,CSM,Scope_Description__c + PO_Number__c reference,Yes,No,No,OBJECT DOES NOT EXIST
Warranty claim — damage visible at QI,FM conducts Site Visit (Warranty Determination purpose),Child WorkOrder created; Work_Order_Type__c = Warranty; linked to original; Division Manager notified,WorkOrder (child),Division Manager,Work_Order_Type__c = Warranty + Parent_Work_Order__c + Lot__c + Foreman__c,Yes — damage photos required,Yes — original invoice blocked until warranty resolved,Yes — original closeout blocked,NOT BUILT — SiteVisitRecord type exists but no createWarrantyJob() action or SF object flow
Warranty claim — plant failure post-install,FM conducts Site Visit (Warranty Determination purpose),Same warranty WorkOrder creation path,WorkOrder (child),Division Manager,Same + expected vs delivered plant species,Yes,Yes,Yes,NOT BUILT
Finished Job needed — QI score below 7.0,System triggers after submitQiPass,Finish_Job__c record created by FM; Parent_Work_Order__c set; invoice blocked,Finish_Job__c,FM self; Division Manager notified,Accountability_Notes__c + FJ_Date__c + reason,Optional,Yes — invoice locked until FJ closes,Yes — closeout blocked until QI re-passes,WORKING — createFinishedJob() creates Finish_Job__c correctly
Finished Job needed — scope rework required,FM taps Create Finished Job manually,Same Finish_Job__c path; FM enters reason and scope,Finish_Job__c,FM self,Accountability_Notes__c + FJ_Date__c + Finish_Job_Reason__c on WorkOrder,Optional,Yes,Yes,WORKING
Aqua issue — head/hose count mismatch,FM taps Dispatch Aqua Repair,Aqua_Inventory__c updated; tech assigned; priority set; activity logged,Aqua_Inventory__c,Aqua Tech (Aqua_Tech__c),Issue type + Priority + tech name + Confirmed_Heads__c vs Expected_Heads__c,Yes — aqua zone photos,No,No,PARTIAL — dispatches in-app; SF record write not confirmed
Aqua issue — controller failure,FM taps Dispatch Aqua Repair > Controller,Same path; Confirmed_Controllers__c vs Expected_Controllers__c,Aqua_Inventory__c,Aqua Tech,Controller counts + notes,Yes,No,No,PARTIAL
Scheduling conflict — date cannot work,FM taps Request Reschedule,Schedule_Issue__c created; Scheduling Manager notified; WorkOrder.Scheduled_Date__c flagged,Schedule_Issue__c,Scheduling Manager,Reschedule reason + requested date + Confirmed_Start_Date__c update,No,No,No,PARTIAL — activity logged; no Schedule_Issue__c record created in SF
Scheduling conflict — crew unavailable,FM taps Request Reschedule,Same as above,Schedule_Issue__c,Scheduling Manager,Crew__c name + reason + requested date,No,No,No,PARTIAL
Red flag — safety hazard on site,FM taps Log Issue > Safety / Red Flag,WorkOrder.Red_Flag_Notes__c populated; Red_Flag_Timestamp__c set; Division Manager alerted immediately,WorkOrder (update),Division Manager,Red_Flag_Notes__c + Red_Flag_Timestamp__c,Yes — required,Yes — job cannot proceed,Yes,GAP — no FM-facing red flag action; Foreman_Flag exists but FM cannot submit it
Builder punch issue — punch not cleared,FM taps Log Issue > Builder Punch,WorkOrder.Builder_Punch_Clear__c = false; notify Builder Regional,WorkOrder (update),Builder_Regional__c,Builder_Punch_Clear__c (false) + notes,Optional,No,No,GAP
Debris not cleared,FM taps Flag Site Not Ready > Debris,WorkOrder.Debris_Clear__c = false; Site_Readiness__c record,Site_Readiness__c,Scheduling Manager,Debris_Clear__c (false) + Site_Not_Ready_Reason__c,Yes,Yes,Yes,GAP
Irrigation not confirmed,FM taps Flag Site Not Ready > Irrigation,WorkOrder.Irrigation_OK__c = false,Site_Readiness__c,Scheduling Manager,Irrigation_OK__c (false),Yes — irrigation zone photo,Yes,Yes,GAP
