Action,Add/Keep/Hide,User Role,Trigger Context,Primary Object Created/Updated,Secondary Objects,Route To,Required Fields,Blocking Gates,FM Cannot Do,Launch Priority,Exists in Metadata?,Notes
Complete Takeoff,ADD,Field Manager,WorkOrder record action,WorkOrder (Takeoff_*__c fields),Lot__c (Takeoff_Approved_Date__c),Ready to Schedule queue,WO ID + all Takeoff_*__c measurement fields + photo proof,All PO lines verified + 811 cleared + at least 1 photo,Cannot approve takeoff if mismatch >tolerance,P0,NO — build needed,"Saves to WO.Takeoff_Sod_Sqft__c, Takeoff_Trees_*__c, Takeoff_Shrubs_*__c, Takeoff_FM__c, Takeoff_Date__c"
Log Issue (Guided Router),ADD,Field Manager,WorkOrder record action — type selector first,Schedule_Issue__c / child WorkOrder / Warranty_Record__c,Task (notification),Type-based routing (see Issue Routing Matrix),Issue type + WO + Lot + notes + photo if applicable,Issue type must be selected before routing,Cannot skip type selection; cannot route to fake record,P0,NO — build needed,One action that opens a type picker and routes to correct object
Create Quote Request,ADD,Field Manager,WorkOrder record action,UMB_Quote_Request__c (Status: Field Request),WorkOrder + Lot__c + Account + Change_Order__c if applicable,Customer Success queue,Scope + Account + Lot + WO + reason + FM notes + billable flag,Scope note required; Account required,Cannot set price / GP / discount / approval status,P0,NO — UMB_Quote_Request__c object exists but no FM flow,Route to CS via Task + Chatter on creation
Upload Site Photos,ADD,Field Manager,WorkOrder record action OR global,ContentVersion → ContentDocumentLink,WorkOrder / Lot__c / Case / Warranty_Record__c,Photo gallery / QI gates,Photo category required before upload,Category must be selected; file required,Cannot skip category selection,P0,NO — ContentVersion API wired in React app only,Categories: Before / Progress / After / Takeoff proof / Drainage / Warranty / QI proof / Damage / Safety
Mark Site Ready,ADD,Field Manager,WorkOrder record action,WorkOrder (Site_Ready__c=true + Site_Readiness_Status__c),Lot__c,Scheduling queue,Site readiness checklist completion + FM signature,All required checklist items complete,Cannot mark ready if critical blocker exists,P0,NO — Site_Ready__c field exists; no FM flow,"Uses existing WO fields: Site_Ready__c, Site_Readiness_Status__c, Site_Readiness_Completed_By__c, Site_Readiness_Date__c"
Flag Site Not Ready,ADD,Field Manager,WorkOrder record action,WorkOrder (Site_Ready__c=false) + Schedule_Issue__c,Task (notify Scheduling Manager),Scheduling Manager,Reason + photos,No hard blocking gates — FM is the gate,Cannot submit without a reason,P0,NO — fields exist; no FM flow,"Uses: Site_Not_Ready_Reason__c, Site_Readiness_Notes__c + creates Schedule_Issue__c"
Complete QI,ADD,Field Manager,WorkOrder record action,WorkOrder (QI_*__c fields) + QI record if QI_Inspection__c exists,Finished Job if failed,Closeout queue if pass / Finished Job queue if fail,Category scores + required photos + FM notes,Score ≥7 to pass; required photos per category,Cannot close WO if QI held; cannot skip categories,P1,NO — QI fields exist on WO; QI_Inspection__c referenced in React but not confirmed in metadata,Block closeout gate at server level
Create Finished Job,ADD,Field Manager,WorkOrder record action,Child WorkOrder (Is_Finished_Job__c=true + Parent_Work_Order__c),Schedule_Issue__c,Scheduling queue,Reason + scope + parent WO + Lot,Cannot create without parent WO and reason,Cannot set billing to anything except No Charge,P1,PARTIAL — Is_Finished_Job__c field exists; no FM create flow,"Use WO child relationship. Fields: Is_Finish_Job__c, Finish_Job_Reason__c, Finish_Job_Notes__c"
Create Warranty Job,ADD,Field Manager,WorkOrder record action,Warranty_Record__c,Case (type: Warranty) if CS-facing,Customer Success,Category + original WO + Account + photos + severity,Photo required for most warranty categories,Cannot mark billable without CS approval,P1,PARTIAL — Warranty_Record__c exists with WorkOrder__c + Case__c; no FM flow,"Use Warranty_Record__c object. Route to CS via Task on create."
Request Reschedule,ADD,Field Manager,WorkOrder or ServiceAppointment record action,Schedule_Issue__c (type: Reschedule) / Task,WorkOrder (Reschedule_Notes__c),Scheduling Manager,Reason + requested date + readiness status,Reason required,Cannot change schedule directly,P1,PARTIAL — Reschedule_Notes__c field exists on WO; no FM reschedule flow,Creates Schedule_Issue__c + Task; updates WO.Reschedule_Notes__c
