Action Name,User Role,Object,App Tab,SF Quick Action?,API Call,Route / Owner,Priority,Status,Notes
Validate Takeoff,Field Manager,WorkOrder,Takeoff,No — missing,updateTakeoffVerifiedAmount + validateTakeoff (local only),FM self,P0,GAP — app saves local state only; no WorkOrder field write to SF yet,Must set Takeoff_Complete__c + Takeoff_FM__c + Takeoff_Date__c on WorkOrder
Enter Measurements (per line),Foreman,WorkOrder,Takeoff,No,updateTakeoffVerifiedAmount (local state),Foreman self,P0,Working — local state; needs SF persist,Verified quantities must save to WorkOrder Takeoff_* fields
Mark Site Ready,Field Manager,WorkOrder + Site_Readiness__c,Takeoff / Command,No — missing,completeChecklistItem (local only),Scheduling Manager notified,P0,GAP — no Site_Readiness__c record created,Must create Site_Readiness__c + set Site_Readiness_Status__c = Ready on WorkOrder
Flag Site Not Ready,Field Manager,WorkOrder + Site_Readiness__c,Takeoff / Command,No — missing,None,Scheduling Manager + Builder Regional,P0,GAP — no Salesforce record created,Must set Site_Not_Ready_Reason__c + Site_Readiness_Status__c = Not Ready
Request Quote,Field Manager,Quote_Request__c,Command,No — missing,None,CSM / Inside Sales,P0,OBJECT DOES NOT EXIST,Quote_Request__c object must be created before this flow can be built
Request Reschedule,Field Manager,WorkOrder + Schedule_Issue__c,Command / WorkOrder,No — partial,requestReschedule (activity log only),Scheduling Manager,P1,Partial — activity logged; no Schedule_Issue__c record,Must create Schedule_Issue__c with reason + requested date
Log Field Issue,Field Manager / Foreman,Schedule_Issue__c,Command,Foreman only (LOVING_Foreman_Flag),None (FM side),Issue type routing,P1,GAP (FM side) — Foreman_Flag action exists but FM has no issue routing,Need LOVING_FM_Log_Issue quick action with routing logic
Create Finished Job,Field Manager,Finish_Job__c,QI / Closeout,No — partial,createFinishedJob (creates Finish_Job__c),FM self → Division Manager notified,P0,Working in app — Finish_Job__c record created,Confirm Parent_Work_Order__c lookup populates correctly in SF
Create Warranty Job,Field Manager,WorkOrder (child),Command / QI,No — missing,None,FM self → Division Manager,P1,NOT BUILT — SiteVisitRecord type exists but no createWarrantyJob() action,Must create child WorkOrder with Work_Order_Type__c = Warranty
Submit QI Score,Field Manager,QI_Inspection__c,QI / Closeout,No — partial,submitQiPass (local state + partial SF),FM self; Division Manager if fail,P0,Partial — score computed locally; QI_Inspection__c fields not confirmed written,Must write QI_Score__c + QI_FM__c + QI_Date__c + Status__c to QI_Inspection__c
Approve Closeout,Field Manager,WorkOrder,QI / Closeout,No — missing,approveCloseout (local state only),FM self → invoice path released,P0,GAP — closeout approval must write to WorkOrder.Closeout_Submitted_Date__c + Approved_By__c,Permission: FM cannot approve if gates open or QI < 7.0
Accept Photo Package,Field Manager,Photo__c / WorkOrder,Photos,No — partial,acceptPhotoPackage (local state),FM self,P0,Partial — no Photo__c records written to SF,Must confirm Photo__c records insert with category + uri + uploadedAt + uploadedBy
Upload Photo,Field Manager / Foreman,Photo__c,Photos,No — partial,uploadPhoto (local state),Uploader self,P0,Partial — native camera works via Capacitor; SF upload not confirmed,Photo__c must be inserted with WorkOrder lookup after each upload
Dispatch Aqua Repair,Field Manager,Aqua_Inventory__c,Aqua,No — partial,dispatchAquaRepair (local state + activity log),Aqua Tech,P1,Partial — no Aqua_Inventory__c record confirmed created in SF,Must create Aqua_Inventory__c or update existing with issue type + priority + tech
Health Check (2 PM),Field Manager,WorkOrder,WorkOrder,No — partial,None (health checks are display only),FM self,P1,Partial — Health_Check_Date__c + Health_Check_Status__c exist on WorkOrder but no write action,Should write to WorkOrder on FM health check confirm
Foreman Arrival Check-In,Foreman only,WorkOrder,— (not in FM),Yes — LOVING_Foreman_Arrival,SF Quick Action,Foreman self,N/A,DO NOT expose to FM,Foreman-only action; must be hidden from FM nav
Foreman Pre-Shift,Foreman only,WorkOrder,— (not in FM),Yes — LOVING_Foreman_PreShift,SF Quick Action,Foreman self,N/A,DO NOT expose to FM,Foreman-only action
Foreman End-of-Day,Foreman only,WorkOrder,— (not in FM),Yes — LOVING_Foreman_EOD,SF Quick Action,Foreman self,N/A,DO NOT expose to FM,Foreman-only action
Foreman Flag Issue,Foreman only,WorkOrder,— (not in FM),Yes — LOVING_Foreman_Flag,SF Quick Action,Foreman → FM,N/A,DO NOT expose to FM,FM receives the flag; FM does not submit it
Foreman Closeout Submit,Foreman only,WorkOrder,— (not in FM),Yes — LOVING_Foreman_Closeout,SF Quick Action,Foreman → FM review,N/A,DO NOT expose to FM,Foreman submits; FM approves via separate action
New Lead,NONE,Lead,HIDDEN,No,N/A,N/A,N/A,CONFIRMED CLEAN — not in any FM tab or action,Verified: no Lead tab or action in App.tsx or LOVING_Field_Manager_App_User permission set
New Opportunity,NONE,Opportunity,HIDDEN,No,N/A,N/A,N/A,CONFIRMED CLEAN — not in any FM tab or action,Verified: no Opportunity tab or action anywhere in FM codebase
