File,Location,Action,Before,After
force-app/main/default/lwc/lovingWorkOrderTypeLayout/lovingWorkOrderTypeLayout.js,NOTICE_MAP line 21,REWRITE,"Main builder install workflow. This page keeps PO, takeoff, package, scope, FSL readiness, proof, QI, and invoice readiness in one operating view.","PO · Takeoff · Package · QI · Invoice readiness."
force-app/main/default/lwc/lovingWorkOrderTypeLayout/lovingWorkOrderTypeLayout.js,NOTICE_MAP line 22,REWRITE,"Finished Job is FM-owned return work. Foreman flags what cannot complete. FM reviews, approves, and creates the Finished Job.","FM-owned return work. Foreman flags · FM reviews and approves."
force-app/main/default/lwc/lovingWorkOrderTypeLayout/lovingWorkOrderTypeLayout.js,NOTICE_MAP line 23,REWRITE,"Warranty work must prove coverage, cause, responsibility, photos, and billable/non-billable decision before scheduling.","Required before scheduling: coverage, responsibility, photos, billable decision."
force-app/main/default/lwc/lovingWorkOrderTypeLayout/lovingWorkOrderTypeLayout.js,NOTICE_MAP line 24,REWRITE,"Customer Success work starts from a Case or builder/customer issue. The page emphasizes source, priority, SLA, coverage, communication, and resolution path.","Case or customer issue. Track source, priority, SLA, coverage, and resolution."
force-app/main/default/lwc/lovingWorkOrderTypeLayout/lovingWorkOrderTypeLayout.js,NOTICE_MAP line 25,REWRITE,"Aqua Check is the routine health check. It captures sod score, flags, patch photos, tampering, equipment condition, and needed repair work.","Routine health check: sod score, flags, photos, equipment condition, repair needs."
force-app/main/default/lwc/lovingWorkOrderTypeLayout/lovingWorkOrderTypeLayout.js,NOTICE_MAP line 26,REWRITE,"Aqua Pickup closes the temporary irrigation cycle. It verifies homeowner and home status, removes LOVING-owned equipment, recovers inventory, and ends recurring checks.","Closes temp irrigation. Verify home status, remove equipment, recover inventory."
force-app/main/default/lwc/lovingWorkOrderTypeLayout/lovingWorkOrderTypeLayout.js,NOTICE_MAP line 27,REWRITE,"Emergency Aqua work is a same-day exception. It requires reason, SLA, issue photo, part use, and dispatch priority without breaking inventory accountability.","Same-day exception. Required: reason, SLA, issue photo, part use, dispatch priority."
force-app/main/default/lwc/lovingWorkOrderTypeLayout/lovingWorkOrderTypeLayout.js,NOTICE_MAP line 28,REWRITE,"Site Visit verifies pre-work conditions, measurements, access, red flags, photos, and whether the job is ready for takeoff and scheduling.","Pre-work conditions: measurements, access, red flags, photos, takeoff readiness."
force-app/main/default/lwc/lovingWorkOrderTypeLayout/lovingWorkOrderTypeLayout.js,NOTICE_MAP line 29,REWRITE,"Irrigation work captures zone, controller, valve, head, solenoid, water source, photos, and repair path. It can be standalone or linked to install, warranty, or aqua work.","Zone, controller, valve, head, water source, photos, and repair path."
force-app/main/default/lwc/lovingWorkOrderTypeLayout/lovingWorkOrderTypeLayout.js,NOTICE_MAP line 30,REWRITE,"Grading work happens 24 hours before the main install when it needs separate crew accountability and scheduling proof.","24 hrs before install. Separate crew accountability and scheduling proof."
